27	65	96	45	97	37	11	63	94	56	81	2	12	97	6	
73	32	91	18	21	78	33	15	2	90	79	76	78	44	81	
41	23	98	89	68	95	27	31	10	21	87	43	75	99	40	
81	73	25	25	91	98	3	77	65	57	19	45	33	97	41	
14	90	64	13	80	32	60	7	63	23	80	2	66	55	54	
59	88	27	36	13	70	34	68	99	51	25	18	48	58	67	
89	25	58	53	90	90	37	2	49	0	25	29	55	44	36	
9	55	24	88	43	90	10	77	58	62	80	36	80	29	94	
0	18	71	58	72	13	48	61	16	49	14	93	78	69	89	
66	30	44	42	18	39	32	80	16	43	42	97	79	23	78	
25	75	96	97	33	20	10	33	82	78	34	96	24	12	17	
13	30	47	10	72	17	49	57	97	18	0	40	67	79	15	
45	4	90	41	53	75	62	16	60	96	46	94	44	70	58	
61	84	88	8	46	12	25	95	69	22	13	69	14	80	0	
29	25	57	19	19	62	94	33	30	54	29	77	48	73	47	
