83	9	59	44	80	41	74	27	96	48	13	46	83	94	59	84	81	31	40	76	
50	44	18	28	71	9	13	18	12	21	18	95	30	29	39	10	70	14	90	66	
14	55	64	98	49	76	34	30	7	74	59	9	70	29	38	93	38	3	12	51	
24	82	98	55	11	38	17	81	4	59	99	18	15	64	68	16	92	3	99	99	
29	58	60	52	87	50	45	77	53	9	80	30	91	79	85	2	17	54	35	73	
14	87	91	81	3	12	97	95	67	96	46	48	6	6	0	93	57	46	23	62	
55	3	92	99	82	29	1	51	36	89	24	50	28	68	83	31	32	80	26	99	
29	72	47	35	30	0	81	39	46	4	2	53	7	46	52	42	76	6	93	12	
47	70	14	75	90	97	6	22	29	84	21	10	8	20	98	38	20	79	78	18	
35	32	24	94	78	28	36	6	34	82	70	33	4	36	60	94	85	66	16	67	
2	89	77	10	61	75	1	34	6	31	52	93	15	28	88	93	57	76	52	43	
58	22	77	14	59	37	8	44	56	76	11	10	17	41	73	79	68	26	13	27	
57	17	20	72	46	8	17	3	85	69	98	95	44	27	10	55	65	70	51	73	
47	15	35	64	56	8	95	76	34	8	3	43	26	24	67	24	84	85	79	21	
6	77	17	2	5	79	57	22	49	9	47	48	76	82	65	84	43	60	60	77	
21	64	21	99	40	88	23	76	25	2	98	84	31	67	86	88	46	44	62	47	
5	61	48	81	44	13	17	39	25	77	16	46	93	89	45	33	30	68	62	55	
22	60	39	6	27	78	94	25	74	9	24	79	70	72	12	66	37	29	5	63	
58	74	61	52	63	7	37	93	27	99	1	2	11	92	8	38	70	54	15	44	
15	92	75	86	64	39	52	54	68	10	69	79	84	30	31	47	89	68	93	17	
